VehicleID,Lane,Frame,Timestamp(s)
387,1,2950,98.333
390,1,2968,98.933
391,1,2975,99.167
386,1,2999,99.967
395,1,3059,101.967
402,1,3105,103.5
399,2,3114,103.8
403,1,3164,105.467
415,1,3178,105.933
396,1,3181,106.033
412,1,3192,106.4
411,2,3196,106.533
419,1,3215,107.167
409,1,3247,108.233
397,2,3261,108.7
410,1,3278,109.267
428,1,3279,109.3
429,1,3305,110.167
434,3,3338,111.267
431,3,3344,111.467
423,1,3345,111.5
435,1,3348,111.6
408,2,3349,111.633
441,2,3417,113.9
439,1,3425,114.167
447,1,3451,115.033
443,1,3476,115.867
452,3,3510,117.0
448,1,3516,117.2
446,1,3565,118.833
459,1,3574,119.133
454,1,3635,121.167
465,1,3641,121.367
457,1,3645,121.5
464,3,3668,122.267
471,1,3747,124.9
463,1,3751,125.033
476,1,3888,129.6
484,1,3894,129.8
483,2,3913,130.433
478,1,3922,130.733
489,1,3927,130.9
490,1,3932,131.067
491,1,3953,131.767
485,1,3970,132.333
495,2,4033,134.433
498,1,4062,135.4
486,1,4066,135.533
510,1,4110,137.0
507,1,4117,137.233
509,1,4136,137.867
520,3,4163,138.767
514,1,4164,138.8
506,1,4170,139.0
526,1,4180,139.333
528,1,4187,139.567
530,2,4188,139.6
508,2,4191,139.7
502,1,4191,139.7
532,1,4201,140.033
527,1,4210,140.333
541,3,4224,140.8
516,1,4242,141.4
543,1,4244,141.467
524,1,4251,141.7
544,3,4253,141.767
545,1,4254,141.8
550,1,4270,142.333
551,2,4274,142.467
549,1,4288,142.933
531,1,4306,143.533
539,1,4319,143.967
537,1,4345,144.833
552,1,4365,145.5
496,2,4419,147.3
576,3,4436,147.867
571,1,4436,147.867
585,2,4462,148.733
587,1,4503,150.1
501,2,4530,151.0
594,2,4543,151.433
570,2,4607,153.567
597,1,4620,154.0
603,1,4662,155.4
611,1,4676,155.867
595,1,4683,156.1
614,1,4722,157.4
619,1,4733,157.767
620,3,4742,158.067
615,3,4745,158.167
600,1,4751,158.367
617,2,4758,158.6
518,2,4758,158.6
606,1,4795,159.833
636,1,4798,159.933
630,1,4810,160.333
635,3,4811,160.367
613,1,4829,160.967
647,1,4832,161.067
644,1,4846,161.533
650,1,4854,161.8
649,1,4882,162.733
655,2,4889,162.967
657,1,4924,164.133
658,1,4934,164.467
662,1,4935,164.5
651,2,4957,165.233
561,2,4957,165.233
671,1,5005,166.833
672,1,5009,166.967
678,1,5039,167.967
675,1,5054,168.467
681,3,5083,169.433
667,1,5084,169.467
682,2,5099,169.967
679,1,5111,170.367
693,1,5119,170.633
692,1,5122,170.733
684,1,5124,170.8
609,2,5171,172.367
699,2,5173,172.433
696,1,5181,172.7
697,1,5231,174.367
702,1,5234,174.467
698,2,5234,174.467
700,2,5322,177.4
715,1,5330,177.667
712,1,5339,177.967
718,1,5342,178.067
727,1,5403,180.1
729,3,5404,180.133
731,1,5414,180.467
719,1,5416,180.533
724,2,5419,180.633
708,1,5424,180.8
732,1,5432,181.067
735,1,5471,182.367
743,1,5478,182.6
747,2,5494,183.133
749,1,5498,183.267
726,1,5524,184.133
752,1,5528,184.267
753,1,5565,185.5
750,2,5570,185.667
757,2,5572,185.733
734,1,5573,185.767
745,1,5585,186.167
761,2,5627,187.567
763,1,5638,187.933
759,1,5679,189.3
725,1,5686,189.533
779,1,5703,190.1
780,3,5706,190.2
778,3,5709,190.3
768,1,5744,191.467
777,1,5762,192.067
787,1,5768,192.267
797,1,5817,193.9
808,1,5850,195.0
785,1,5851,195.033
809,3,5855,195.167
810,1,5859,195.3
769,2,5900,196.667
816,3,5903,196.767
794,1,5908,196.933
817,1,5910,197.0
818,3,5912,197.067
825,1,5940,198.0
801,1,5941,198.033
826,1,5942,198.067
823,3,5946,198.2
802,1,5955,198.5
824,1,5988,199.6
837,1,5998,199.933
815,1,6001,200.033
841,1,6033,201.1
832,1,6042,201.4
812,2,6042,201.4
827,1,6049,201.633
842,1,6053,201.767
846,1,6079,202.633
856,1,6083,202.767
851,1,6106,203.533
859,1,6110,203.667
850,2,6151,205.033
844,1,6177,205.9
836,1,6184,206.133
870,1,6211,207.033
857,1,6227,207.567
873,1,6231,207.7
852,2,6234,207.8
877,2,6262,208.733
860,1,6266,208.867
881,1,6271,209.033
878,1,6305,210.167
897,1,6324,210.8
901,3,6329,210.967
899,1,6363,212.1
890,1,6369,212.3
909,1,6370,212.333
889,1,6375,212.5
914,3,6386,212.867
917,2,6415,213.833
884,1,6416,213.867
918,1,6421,214.033
902,1,6437,214.567
923,1,6443,214.767
925,1,6452,215.067
905,1,6462,215.4
874,2,6477,215.9
927,1,6485,216.167
924,1,6490,216.333
904,1,6490,216.333
912,2,6492,216.4
920,1,6499,216.633
919,1,6534,217.8
934,1,6546,218.2
930,1,6578,219.267
935,3,6587,219.567
938,1,6588,219.6
940,3,6591,219.7
936,2,6601,220.033
945,2,6677,222.567
949,2,6741,224.7
942,2,6756,225.2
961,3,6838,227.933
958,2,6844,228.133
967,3,6847,228.233
969,1,6892,229.733
960,2,6927,230.9
974,1,6961,232.033
966,2,6975,232.5
976,2,7030,234.333
983,2,7035,234.5
978,1,7054,235.133
985,2,7114,237.133
982,1,7128,237.6
987,1,7132,237.733
989,1,7194,239.8
988,2,7251,241.7
990,1,7262,242.067
1001,2,7267,242.233
1002,1,7280,242.667
1004,3,7293,243.1
1000,3,7300,243.333
1006,1,7340,244.667
1009,3,7368,245.6
1015,3,7370,245.667
1003,1,7380,246.0
1021,2,7422,247.4
1014,1,7425,247.5
1023,1,7428,247.6
1019,3,7434,247.8
1026,2,7435,247.833
1011,1,7442,248.067
1018,1,7516,250.533
1032,1,7524,250.8
1029,1,7558,251.933
1031,2,7566,252.2
1040,2,7570,252.333
1035,1,7576,252.533
1042,1,7585,252.833
1033,1,7604,253.467
1048,1,7606,253.533
1034,1,7607,253.567
1052,1,7615,253.833
1050,3,7630,254.333
1037,1,7648,254.933
1056,1,7661,255.367
1060,1,7666,255.533
1059,1,7724,257.467
1057,2,7731,257.7
1065,1,7758,258.6
1062,1,7765,258.833
1063,1,7776,259.2
1076,1,7839,261.3
1072,1,7877,262.567
1085,1,7908,263.6
1086,3,7912,263.733
1082,2,7917,263.9
1087,1,7928,264.267
1096,1,7941,264.7
1098,1,7943,264.767
1099,2,7950,265.0
1083,1,7969,265.633
1095,2,8000,266.667
1106,1,8006,266.867
1097,1,8031,267.7
1110,1,8065,268.833
1103,1,8070,269.0
1113,2,8091,269.7
1119,1,8151,271.7
1118,1,8189,272.967
1121,2,8191,273.033
1117,1,8213,273.767
1127,1,8215,273.833
1126,1,8243,274.767
1131,2,8247,274.9
1107,2,8257,275.233
1136,1,8332,277.733
1141,1,8336,277.867
1139,1,8363,278.767
1147,1,8379,279.3
1148,1,8396,279.867
1130,2,8398,279.933
1150,1,8428,280.933
1133,2,8454,281.8
1144,1,8461,282.033
1161,2,8466,282.2
1163,1,8471,282.367
1169,1,8476,282.533
1145,1,8483,282.767
1151,1,8503,283.433
1171,1,8509,283.633
1174,2,8511,283.7
1153,2,8528,284.267
1179,1,8543,284.767
1156,1,8562,285.4
1185,1,8563,285.433
1167,2,8583,286.1
1186,1,8617,287.233
1190,2,8639,287.967
1188,1,8659,288.633
1195,1,8663,288.767
1199,1,8670,289.0
1196,2,8685,289.5
1201,2,8765,292.167
1208,3,8778,292.6
1206,3,8783,292.767
1202,1,8799,293.3
1216,1,8875,295.833
1189,2,8884,296.133
1220,1,8887,296.233
1214,1,8915,297.167
1215,1,8958,298.6
1233,1,9011,300.367
1236,1,9027,300.9
1234,1,9033,301.1
1223,1,9057,301.9
1239,3,9061,302.033
1217,2,9069,302.3
1255,1,9166,305.533
1249,1,9166,305.533
1261,3,9180,306.0
